category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
men,Slogan Print T-Shirt,"PKR 2,490-0%","PKR 2,490","PKR 2,490-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1541-106?variant=44496242180287,https://outfitters.com.pk/cdn/shop/files/F1541106413_6.jpg,Outfitters
men,Slogan Print T-Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1494-106?variant=44576974405823,https://outfitters.com.pk/cdn/shop/files/F1494106805_4.jpg,Outfitters
men,Slogan Print T-Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1494-106?variant=44576974536895,https://outfitters.com.pk/cdn/shop/files/F1494106901_3.jpg,Outfitters
men,Graphic T-Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1544-106?variant=44525736427711,https://outfitters.com.pk/cdn/shop/files/F1544106605_3.jpg,Outfitters
men,Basic Crew Neck T-Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1550-106?variant=44576974667967,https://outfitters.com.pk/cdn/shop/files/F1550106619_4.jpg,Outfitters
men,Basic Crew Neck T-Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1550-106?variant=44576974799039,https://outfitters.com.pk/cdn/shop/files/F1550106903_3.jpg,Outfitters
men,Varsity Mesh T Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: s-m, l-xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1585-106?variant=44525736657087,https://outfitters.com.pk/cdn/shop/files/F1585106901_3.jpg,Outfitters
men,Slogan Print T-Shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1536-106?variant=44496239952063,https://outfitters.com.pk/cdn/shop/files/F1536106001_4.jpg,Outfitters
men,Cropped Slogan Mesh T-Shirt,"PKR 3,690-0%","PKR 3,690","PKR 3,690-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1587-106?variant=44525736820927,https://outfitters.com.pk/cdn/shop/files/F1587106001_4.jpg,Outfitters
men,Slogan Print T-Shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1570-106?variant=44546374467775,https://outfitters.com.pk/cdn/shop/files/F1570106618.jpg,Outfitters
men,Cropped Graphic T-Shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1558-106?variant=44496243720383,https://outfitters.com.pk/cdn/shop/files/F1558106814_2.jpg,Outfitters
men,Graphic T-Shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1576-106?variant=44546374598847,https://outfitters.com.pk/cdn/shop/files/F1576106003_4.jpg,Outfitters
men,Slogan Print Mesh T-Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1588-106?variant=44525736951999,https://outfitters.com.pk/cdn/shop/files/F1588106618_4.jpg,Outfitters
men,Slogan Print T-Shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1521-106?variant=44496236937407,https://outfitters.com.pk/cdn/shop/files/F1521106203_4.jpg,Outfitters
men,Slogan Print Pull-Over,"PKR 6,490-0%","PKR 6,490","PKR 6,490-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0586-107?variant=44616599732415,https://outfitters.com.pk/cdn/shop/files/F0586107802_5.jpg,Outfitters
men,Graphic T-Shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1538-106?variant=44496240378047,https://outfitters.com.pk/cdn/shop/files/F1538106120_4.jpg,Outfitters
men,Slogan Print Pull Over,"PKR 6,990-0%","PKR 6,990","PKR 6,990-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0588-107?variant=44525730726079,https://outfitters.com.pk/cdn/shop/files/F0588107901_4_copy.jpg,Outfitters
men,Slogan Print Sweatshirt,"PKR 4,990-0%","PKR 4,990","PKR 4,990-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0578-107?variant=44588346310847,https://outfitters.com.pk/cdn/shop/files/F0578107903_3.jpg,Outfitters
men,Graphic T-Shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1559-106?variant=44496244375743,https://outfitters.com.pk/cdn/shop/files/F1559106903_4.jpg,Outfitters
men,Slogan Print T-Shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1528-106?variant=44496237920447,https://outfitters.com.pk/cdn/shop/files/F1528106808_3.jpg,Outfitters
men,Mock Neck Basic T-shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1488-106?variant=44525735248063,https://outfitters.com.pk/cdn/shop/files/F1488106808_4.jpg,Outfitters
men,Mock Neck Basic T-shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1488-106?variant=44525735379135,https://outfitters.com.pk/cdn/shop/files/F1488106901_3.jpg,Outfitters
men,Basic T-Shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0863-103?variant=44486867910847,https://outfitters.com.pk/cdn/shop/files/F0863103002_3.jpg,Outfitters
men,Striped Crew Neck T-shirt,"PKR 2,290-0%","PKR 2,290","PKR 2,290-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1477-106?variant=44047945531583,https://outfitters.com.pk/cdn/shop/files/F1477106901_8.jpg,Outfitters
men,Striped Crew Neck T-shirt,"PKR 2,290-0%","PKR 2,290","PKR 2,290-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1477-106?variant=44047945334975,https://outfitters.com.pk/cdn/shop/files/F1477106002_5.jpg,Outfitters
men,Ribbed Tank top,"PKR 2,090-0%","PKR 2,090","PKR 2,090-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1148-106?variant=43977612394687,https://outfitters.com.pk/cdn/shop/files/F1148106002_5.jpg,Outfitters
men,Ribbed Tank top,"PKR 2,090-0%","PKR 2,090","PKR 2,090-0%",-0%,"Sizes: S, M, L, XL
                                  - Sold Out",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1148-106?variant=43977612525759,https://outfitters.com.pk/cdn/shop/files/F1148106901_2.jpg,Outfitters
men,Ribbed Tank top,"PKR 2,090-0%","PKR 2,090","PKR 2,090-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1148-106?variant=44009201172671,https://outfitters.com.pk/cdn/shop/files/F1148106915_2_83c362c3-e841-4286-8f0b-34f8817ef03e.jpg,Outfitters
men,Relaxed Fit Jeans,"PKR 6,490-0%","PKR 6,490","PKR 6,490-0%",-0%,"Sizes: 30, 32, 34, 36, 38",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0600-109?variant=44576970375359,https://outfitters.com.pk/cdn/shop/files/F0600109901_4.jpg,Outfitters
men,Straight Fit Cargo Jeans,"PKR 6,990-0%","PKR 6,990","PKR 6,990-0%",-0%,"Sizes: 30, 32, 34, 36, 38",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0593-109?variant=44525731315903,https://outfitters.com.pk/cdn/shop/files/F0539109903_4_copy2.jpg,Outfitters
men,Cargo Straight Trousers,"PKR 5,990-0%","PKR 5,990","PKR 5,990-0%",-0%,"Sizes: 30, 32, 34, 36, 38",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0559-108?variant=44525729513663,https://outfitters.com.pk/cdn/shop/files/F0559108007LOPWER._1.jpg,Outfitters
men,Straight Trousers,"PKR 4,990-0%","PKR 4,990","PKR 4,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0555-108?variant=44494077362367,https://outfitters.com.pk/cdn/shop/files/F0555108814_4.jpg,Outfitters
men,Straight Trousers,"PKR 4,990-0%","PKR 4,990","PKR 4,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0555-108?variant=44494077231295,https://outfitters.com.pk/cdn/shop/files/F0555108801_4_copy.jpg,Outfitters
men,Straight Trousers,"PKR 4,990-0%","PKR 4,990","PKR 4,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0555-108?variant=44494077493439,https://outfitters.com.pk/cdn/shop/files/F0555108901_4.jpg,Outfitters
men,Graphic T-shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1520-106?variant=44496236740799,https://outfitters.com.pk/cdn/shop/files/F1520106622_3.jpg,Outfitters
men,Basic V Neck T-shirt,"PKR 2,290-0%","PKR 2,290","PKR 2,290-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1549-106?variant=44494085161151,https://outfitters.com.pk/cdn/shop/files/F1549106901_4.jpg,Outfitters
men,Basic V Neck T-shirt,"PKR 2,290-0%","PKR 2,290","PKR 2,290-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1549-106?variant=44496441999551,https://outfitters.com.pk/cdn/shop/files/F1549106117_5.jpg,Outfitters
men,Basic V Neck T-shirt,"PKR 2,290-0%","PKR 2,290","PKR 2,290-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1549-106?variant=44494084833471,https://outfitters.com.pk/cdn/shop/files/F1549106001_1.jpg,Outfitters
men,Basic V Neck T-shirt,"PKR 2,290-0%","PKR 2,290","PKR 2,290-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1549-106?variant=44494084997311,https://outfitters.com.pk/cdn/shop/files/F1549106618_8.jpg,Outfitters
men,Basic Ribbed T-shirt,"PKR 3,490-0%","PKR 3,490","PKR 3,490-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1499-106?variant=44496235593919,https://outfitters.com.pk/cdn/shop/files/F1499106805_3.jpg,Outfitters
men,Basic Ribbed T-shirt,"PKR 3,490-0%","PKR 3,490","PKR 3,490-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1499-106?variant=44496235724991,https://outfitters.com.pk/cdn/shop/files/F1499106904_6.jpg,Outfitters
men,Basic Crew Neck T-shirt,"PKR 2,490-0%","PKR 2,490","PKR 2,490-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1552-106?variant=44496243065023,https://outfitters.com.pk/cdn/shop/files/F1552106817_5.jpg,Outfitters
men,Basic Crew Neck T-shirt,"PKR 2,490-0%","PKR 2,490","PKR 2,490-0%",-0%,"Sizes: S, M, L, XL, XXL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1552-106?variant=44496243228863,https://outfitters.com.pk/cdn/shop/files/F1552106901_3.jpg,Outfitters
men,Basic T-shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1493-106?variant=44496234250431,https://outfitters.com.pk/cdn/shop/files/F1493106001_4.jpg,Outfitters
men,Basic T-shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1493-106?variant=44496234381503,https://outfitters.com.pk/cdn/shop/files/F1493106704_3.jpg,Outfitters
men,Basic Crew Neck T-shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1498-106?variant=44496235135167,https://outfitters.com.pk/cdn/shop/files/F1498106618_4_b219d062-c208-4fcd-9de2-dfe50bc0a46c.jpg,Outfitters
men,Basic Crew Neck T-shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1498-106?variant=44496235266239,https://outfitters.com.pk/cdn/shop/files/F1498106704_3_9fda4da2-fa40-4aa0-a3fe-132c839d9761.jpg,Outfitters
men,Basic Zipper Hoodie,"PKR 6,990-0%","PKR 6,990","PKR 6,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0552-107?variant=44546369061055,https://outfitters.com.pk/cdn/shop/files/F0552107618_4.jpg,Outfitters
men,Basic Zipper Hoodie,"PKR 6,990-0%","PKR 6,990","PKR 6,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0552-107?variant=44546368929983,https://outfitters.com.pk/cdn/shop/files/F0552107117_6_copy.jpg,Outfitters
men,Basic Zipper Hoodie,"PKR 6,990-0%","PKR 6,990","PKR 6,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0552-107?variant=44546369192127,https://outfitters.com.pk/cdn/shop/files/F0552107904_6.jpg,Outfitters
men,Graphic T-shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1527-106?variant=44496237428927,https://outfitters.com.pk/cdn/shop/files/F1527106001_5.jpg,Outfitters
men,Graphic T-shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1527-106?variant=44496237559999,https://outfitters.com.pk/cdn/shop/files/F1527106901_4.jpg,Outfitters
men,Graphic Pull-Over,"PKR 5,990-0%","PKR 5,990","PKR 5,990-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0585-107?variant=44576970178751,https://outfitters.com.pk/cdn/shop/files/F0585107001_5.jpg,Outfitters
men,Basic T-shirt,"PKR 2,490-0%","PKR 2,490","PKR 2,490-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1469-106?variant=44009201598655,https://outfitters.com.pk/cdn/shop/files/F1469106901_4.jpg,Outfitters
men,Basic T-shirt,"PKR 2,490-0%","PKR 2,490","PKR 2,490-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1469-106?variant=43997159882943,https://outfitters.com.pk/cdn/shop/files/F1469106001_4.jpg,Outfitters
men,Basic Crew Neck T-shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1489-106?variant=44496233070783,https://outfitters.com.pk/cdn/shop/files/F1489106901_4.jpg,Outfitters
men,Basic Crew Neck T-shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1489-106?variant=44496232939711,https://outfitters.com.pk/cdn/shop/files/F1489106801_3.jpg,Outfitters
men,Color-Block Graphic Hoodie,"PKR 6,490-0%","PKR 6,490","PKR 6,490-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0535-107?variant=44525726302399,https://outfitters.com.pk/cdn/shop/files/F0535107002_4.jpg,Outfitters
men,Basic T-Shirt With Pocket,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: L
                                  - Sold Out, L-XL, M
                                  - Sold Out, S
                                  - Sold Out, S-M, XL
                                  - Sold Out",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1516-106?variant=44494083981503,https://outfitters.com.pk/cdn/shop/files/F1516106901_1_e7f04a81-3385-4aa6-906f-fda6223fe973.jpg,Outfitters
men,Basic T-Shirt With Pocket,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: L
                                  - Sold Out, L-XL, M
                                  - Sold Out, S
                                  - Sold Out, S-M, XL
                                  - Sold Out",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1516-106?variant=44496441770175,https://outfitters.com.pk/cdn/shop/files/F1516106111_4_dbd47409-1af9-42ee-9137-3889ed622bde.jpg,Outfitters
men,Baggy Fit Jeans,"PKR 5,990-0%","PKR 5,990","PKR 5,990-0%",-0%,"Sizes: 30, 32, 34, 36, 38",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0602-109?variant=44496210002111,https://outfitters.com.pk/cdn/shop/files/F0602109630LOWER..jpg,Outfitters
men,Baggy Fit Jeans,"PKR 5,990-0%","PKR 5,990","PKR 5,990-0%",-0%,"Sizes: 30, 32, 34, 36, 38",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0602-109?variant=44496209838271,https://outfitters.com.pk/cdn/shop/files/F0602109622_5_copy.jpg,Outfitters
men,Slogan Print Sweatshirt,"PKR 5,490-0%","PKR 5,490","PKR 5,490-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0566-107?variant=44496208167103,https://outfitters.com.pk/cdn/shop/files/F0566107912_3.jpg,Outfitters
men,Cable Knitted Sweater,"PKR 6,990-0%","PKR 6,990","PKR 6,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0176-102?variant=44588331598015,https://outfitters.com.pk/cdn/shop/files/F0176102618_3.jpg,Outfitters
men,Cable Knitted Sweater,"PKR 6,990-0%","PKR 6,990","PKR 6,990-0%",-0%,"Sizes: L, M, S, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0176-102?variant=44604428288191,https://outfitters.com.pk/cdn/shop/files/F0176102218_3.jpg,Outfitters
men,Open Knit Vest,"PKR 5,490-0%","PKR 5,490","PKR 5,490-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0153-102?variant=44588370624703,https://outfitters.com.pk/cdn/shop/files/F0153102820_4.jpg,Outfitters
men,Open Knit Vest,"PKR 5,490-0%","PKR 5,490","PKR 5,490-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0153-102?variant=44576938623167,https://outfitters.com.pk/cdn/shop/files/F0153102901_3.jpg,Outfitters
men,Graphic T-Shirt,"PKR 3,090-0%","PKR 3,090","PKR 3,090-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1530-106?variant=44496238641343,https://outfitters.com.pk/cdn/shop/files/F1530106903_3.jpg,Outfitters
men,Basic Mock Neck T-Shirt,"PKR 3,690-0%","PKR 3,690","PKR 3,690-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1514-106?variant=44496236150975,https://outfitters.com.pk/cdn/shop/files/F1514106801_4.jpg,Outfitters
men,Ribbed Polo Shirt,"PKR 4,990-0%","PKR 4,990","PKR 4,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1300-106?variant=44546374074559,https://outfitters.com.pk/cdn/shop/files/F1300106901_4_copy.jpg,Outfitters
men,Ribbed Polo Shirt,"PKR 4,990-0%","PKR 4,990","PKR 4,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1300-106?variant=44546373943487,https://outfitters.com.pk/cdn/shop/files/F1300106814_3.jpg,Outfitters
men,Basic T-Shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1515-106?variant=44494083752127,https://outfitters.com.pk/cdn/shop/files/F1515106119_3.jpg,Outfitters
men,Basic T-Shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1515-106?variant=44494083883199,https://outfitters.com.pk/cdn/shop/files/F1515106618_4.jpg,Outfitters
men,Slogan Hoodie,"PKR 5,990-0%","PKR 5,990","PKR 5,990-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0537-107?variant=44496199712959,https://outfitters.com.pk/cdn/shop/files/F0537107703_3.jpg,Outfitters
men,Textured Full Sleeves Mock Neck T-shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1497-106?variant=44496234512575,https://outfitters.com.pk/cdn/shop/files/F1497106112_5.jpg,Outfitters
men,Textured Full Sleeves Mock Neck T-shirt,"PKR 3,290-0%","PKR 3,290","PKR 3,290-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1497-106?variant=44496234643647,https://outfitters.com.pk/cdn/shop/files/F1497106619_4.jpg,Outfitters
men,Quarter Zipper Graphic Sweatshirt,"PKR 6,490-0%","PKR 6,490","PKR 6,490-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0560-107?variant=44496207085759,https://outfitters.com.pk/cdn/shop/files/F0560107003_3.jpg,Outfitters
men,Checkered Shirt,"PKR 4,490-0%","PKR 4,490","PKR 4,490-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0962-103?variant=44525733281983,https://outfitters.com.pk/cdn/shop/files/F0962103803_5.jpg,Outfitters
men,Graphic T-Shirt,"PKR 2,890-0%","PKR 2,890","PKR 2,890-0%",-0%,"Sizes: s, m, l, xl",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1532-106?variant=44494084571327,https://outfitters.com.pk/cdn/shop/files/F1532106901_4.jpg,Outfitters
men,Basic Quarter-Zip Sweatshirt,"PKR 5,990-0%","PKR 5,990","PKR 5,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0545-107?variant=44525728202943,https://outfitters.com.pk/cdn/shop/files/F0545107002_4.jpg,Outfitters
men,Basic Quarter-Zip Sweatshirt,"PKR 5,990-0%","PKR 5,990","PKR 5,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0545-107?variant=44525728334015,https://outfitters.com.pk/cdn/shop/files/F0545107618_5.jpg,Outfitters
men,Puffer Jacket With Hood,"PKR 13,990-0%","PKR 13,990","PKR 13,990-0%",-0%,"Sizes: S, M, L, XL",https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f0308-101?variant=44576953499839,https://outfitters.com.pk/cdn/shop/files/F0308101901_c6142441-07d2-4f39-86f5-1f790eb86b3d.jpg,Outfitters
